model,transparency,flux_phi0,critical_current_normalized,critical_current_zero_field
AB,0.01,-6.456456456456456,0.0007671654858733899,0.01570758450269403
AB,0.01,-6.436436436436436,0.0007613718636311998,0.01570758450269403
AB,0.01,-6.416416416416416,0.000752521890133205,0.01570758450269403
AB,0.01,-6.396396396396396,0.0007406313970044008,0.01570758450269403
AB,0.01,-6.376376376376376,0.000725728256257083,0.01570758450269403
AB,0.01,-6.356356356356356,0.00070785234572922,0.01570758450269403
AB,0.01,-6.336336336336336,0.0006870554676342079,0.01570758450269403
AB,0.01,-6.316316316316316,0.0006634012202571991,0.01570758450269403
AB,0.01,-6.296296296296296,0.0006369648230138159,0.01570758450269403
AB,0.01,-6.276276276276276,0.0006078328952678649,0.01570758450269403
AB,0.01,-6.256256256256256,0.0005761031894850091,0.01570758450269403
AB,0.01,-6.236236236236236,0.0005418842794784282,0.01570758450269403
AB,0.01,-6.216216216216216,0.0005052952046798007,0.01570758450269403
AB,0.01,-6.196196196196196,0.0004664650715435866,0.01570758450269403
AB,0.01,-6.176176176176176,0.000425532613364045,0.01570758450269403
